Season,Week,PID,Player,Pos,Team,Opp,FFPts,FFPtsPPR,Pass Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Fum,XP,FG,Grade
2015,10,crosbm1,Mason Crosby,K,GB,DET,8.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.8,A-Game
2015,10,gostks1,Stephen Gostkowski,K,NE,@NYG,8.4,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.6,A-Game
2015,10,mcmanb1,Brandon McManus,K,DEN,KC,7.8,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,B-Game
2015,10,tuckej1,Justin Tucker,K,BAL,JAX,7.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.6,B-Game
2015,10,sturgc1,Caleb Sturgis,K,PHI,MIA,7.6,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.6,B-Game
2015,10,hauscs1,Steven Hauschka,K,SEA,ARI,7.6,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.7,B-Game
2015,10,zuerlg1,Greg Zuerlein,K,STL,CHI,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.7,B-Game
2015,10,barthc1,Connor Barth,K,TB,DAL,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.7,B-Game
2015,10,nugenm1,Mike Nugent,K,CIN,HOU,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.4,B-Game
2015,10,walshb1,Blair Walsh,K,MIN,@OAK,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.8,B-Game
2015,10,forbak1,Kai Forbath,K,NO,@WAS,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.5,B-Game
2015,10,janiks1,Sebastian Janikowski,K,OAK,MIN,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.6,B-Game
2015,10,ganog1,Graham Gano,K,CAR,@TEN,7.3,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.6,B-Game
2015,10,boswec1,Chris Boswell,K,PIT,CLE,7.3,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.6,B-Game
2015,10,bailed1,Dan Bailey,K,DAL,@TB,7.2,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.7,B-Game
2015,10,brownj1,Josh Brown,K,NYG,NE,7.1,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.5,B-Game
2015,10,bullor1,Randy Bullock,K,NYJ,BUF,6.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.5,B-Game
2015,10,hopkid2,Dustin Hopkins,K,WAS,NO,6.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.4,B-Game
2015,10,catanc1,Chandler Catanzaro,K,ARI,@SEA,6.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.5,B-Game
2015,10,gouldr1,Robbie Gould,K,CHI,@STL,6.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,B-Game
2015,10,carped2,Dan Carpenter,K,BUF,@NYJ,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.5,B-Game
2015,10,myersj1,Jason Myers,K,JAX,@BAL,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.5,B-Game
2015,10,succor1,Ryan Succop,K,TEN,CAR,6.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,B-Game
2015,10,franka1,Andrew Franks,K,MIA,@PHI,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.5,B-Game
2015,10,coonst1,Travis Coons,K,CLE,@PIT,6.4,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.5,B-Game
2015,10,santoc1,Cairo Santos,K,KC,@DEN,6.2,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.5,B-Game
2015,10,novakn1,Nick Novak,K,HOU,@CIN,6.1,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.4,B-Game
2015,10,bradyt1,Tom Brady,QB,NE,@NYG,22.4,22.4,28.2,41.4,331.8,2.5,0.9,0.8,2.8,0.2,0.0,0.0,0.0,0.2,0.0,0.0,A-Game
2015,10,rodgea1,Aaron Rodgers,QB,GB,DET,21.9,21.9,23.8,33.8,278.3,2.1,0.7,4.9,30.9,0.2,0.0,0.0,0.0,0.2,0.0,0.0,A-Game
2015,10,daltoa1,Andy Dalton,QB,CIN,HOU,19.4,19.4,22.6,34.5,280.1,2.1,0.8,2.8,8.8,0.2,0.0,0.0,0.0,0.2,0.0,0.0,A-Game
2015,10,breesd1,Drew Brees,QB,NO,@WAS,19.4,19.4,26.7,39.3,323.6,2.1,0.8,0.3,1.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,A-Game
2015,10,newtoc1,Cam Newton,QB,CAR,@TEN,19.1,19.1,18.2,31.0,232.5,1.5,1.1,8.2,40.5,0.4,0.0,0.0,0.0,0.2,0.0,0.0,A-Game
2015,10,bortlb1,Blake Bortles,QB,JAX,@BAL,17.1,17.1,23.2,37.5,258.0,1.6,1.1,3.3,22.7,0.1,0.0,0.0,0.0,0.2,0.0,0.0,A-Game
2015,10,carrd2,Derek Carr,QB,OAK,MIN,16.9,16.9,22.7,35.8,278.5,1.8,0.9,1.6,4.5,0.1,0.0,0.0,0.0,0.3,0.0,0.0,A-Game
2015,10,mannie1,Eli Manning,QB,NYG,NE,16.9,16.9,25.2,39.9,287.9,1.9,1.2,1.2,4.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,A-Game
2015,10,wilsor1,Russell Wilson,QB,SEA,ARI,16.8,16.8,20.7,33.0,229.0,1.4,1.0,4.3,27.6,0.2,0.0,0.0,0.0,0.2,0.0,0.0,A-Game
2015,10,flaccj1,Joe Flacco,QB,BAL,JAX,16.0,16.0,24.6,38.0,260.9,1.8,1.0,0.2,0.5,0.1,0.0,0.0,0.0,0.2,0.0,0.0,B-Game
2015,10,mannip1,Peyton Manning,QB,DEN,KC,15.9,15.9,21.9,36.0,276.3,1.7,0.9,0.4,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,B-Game
2015,10,cousik1,Kirk Cousins,QB,WAS,NO,15.8,15.8,25.2,38.2,262.5,1.8,1.1,0.7,2.1,0.1,0.0,0.0,0.0,0.2,0.0,0.0,B-Game
2015,10,tanner1,Ryan Tannehill,QB,MIA,@PHI,15.3,15.3,23.4,37.1,263.5,1.5,1.1,2.3,11.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,B-Game
2015,10,staffm1,Matthew Stafford,QB,DET,@GB,15.2,15.2,25.6,42.4,280.4,1.5,1.3,2.9,9.6,0.0,0.0,0.0,0.0,0.3,0.0,0.0,B-Game
